,name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,worldwide_sales
0,Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53999999999999
1,Super Mario Bros.,Nintendo,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
2,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.68,12.76,3.79,3.29,35.519999999999996
3,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77
4,Pokemon Red/Pokemon Blue,Game Boy,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.380000000000003
5,Tetris,Game Boy,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.259999999999998
6,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8
7,Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.91
8,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32
9,Duck Hunt,Nintendo,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
10,Nintendogs,DS,2005,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67
11,Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.209999999999997
12,Pokemon Gold/Pokemon Silver,Game Boy,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.09
13,Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7
14,Kinect Adventures!,Xbox 360,2010,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.82
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.8
16,Grand Theft Auto V,PlayStation 3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.05
17,Grand Theft Auto: San Andreas,PlayStation 2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.810000000000002
19,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.14
20,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.24
21,Super Mario Land,Game Boy,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
22,Super Mario Bros. 3,Nintendo,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
23,Grand Theft Auto V,Xbox 360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27
24,Grand Theft Auto: Vice City,PlayStation 2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.150000000000002
25,Pokemon Ruby/Pokemon Sapphire,Game Boy Advance,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.84
26,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.28
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.51,3.17,5.65,0.8,15.13
