,name,platform,year_of_release,genre,publisher,developer,rating
0,Wii Sports,Wii,2006,Sports,Nintendo,Nintendo,E
2,Mario Kart Wii,Wii,2008,Racing,Nintendo,Nintendo,E
3,Wii Sports Resort,Wii,2009,Sports,Nintendo,Nintendo,E
6,New Super Mario Bros.,DS,2006,Platform,Nintendo,Nintendo,E
7,Wii Play,Wii,2006,Misc,Nintendo,Nintendo,E
8,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,Nintendo,E
11,Mario Kart DS,DS,2005,Racing,Nintendo,Nintendo,E
13,Wii Fit,Wii,2007,Sports,Nintendo,Nintendo,E
14,Kinect Adventures!,Xbox 360,2010,Misc,Microsoft Game Studios,Good Science Studio,E
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,Nintendo,E
16,Grand Theft Auto V,PlayStation 3,2013,Action,Take-Two Interactive,Rockstar North,M
17,Grand Theft Auto: San Andreas,PlayStation 2,2004,Action,Take-Two Interactive,Rockstar North,M
19,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,Nintendo,E
23,Grand Theft Auto V,Xbox 360,2013,Action,Take-Two Interactive,Rockstar North,M
24,Grand Theft Auto: Vice City,PlayStation 2,2002,Action,Take-Two Interactive,Rockstar North,M
26,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,Nintendo,E
28,Gran Turismo 3: A-Spec,PlayStation 2,2001,Racing,Sony Computer Entertainment,Polyphony Digital,E
29,Call of Duty: Modern Warfare 3,Xbox 360,2011,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
32,Call of Duty: Black Ops,Xbox 360,2010,Shooter,Activision,Treyarch,M
34,Call of Duty: Black Ops II,PlayStation 3,2012,Shooter,Activision,Treyarch,M
35,Call of Duty: Black Ops II,Xbox 360,2012,Shooter,Activision,Treyarch,M
36,Call of Duty: Modern Warfare 2,Xbox 360,2009,Shooter,Activision,Infinity Ward,M
37,Call of Duty: Modern Warfare 3,PlayStation 3,2011,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
38,Grand Theft Auto III,PlayStation 2,2001,Action,Take-Two Interactive,DMA Design,M
39,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,Game Arts,T
40,Mario Kart 7,3DS,2011,Racing,Nintendo,"Retro Studios, Entertainment Analysis & Development Division",E
41,Call of Duty: Black Ops,PlayStation 3,2010,Shooter,Activision,Treyarch,M
42,Grand Theft Auto V,PlayStation 4,2014,Action,Take-Two Interactive,Rockstar North,M
43,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,Nintendo,E
44,Halo 3,Xbox 360,2007,Shooter,Microsoft Game Studios,"Bungie Software, Bungie",M
48,Gran Turismo 4,PlayStation 2,2004,Racing,Sony Computer Entertainment,Polyphony Digital,E
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,Nintendo,E
51,Grand Theft Auto IV,Xbox 360,2008,Action,Take-Two Interactive,Rockstar North,M
52,Gran Turismo,PlayStation,1997,Racing,Sony Computer Entertainment,Polyphony Digital,E
53,Super Mario 3D Land,3DS,2011,Platform,Nintendo,Nintendo,E
54,Gran Turismo 5,PlayStation 3,2010,Racing,Sony Computer Entertainment,Polyphony Digital,E
55,Call of Duty: Modern Warfare 2,PlayStation 3,2009,Shooter,Activision,Infinity Ward,M
57,Grand Theft Auto IV,PlayStation 3,2008,Action,Take-Two Interactive,Rockstar North,M
60,Call of Duty: Ghosts,Xbox 360,2013,Shooter,Activision,Infinity Ward,M
61,Just Dance 3,Wii,2011,Misc,Ubisoft,Ubisoft,E10+
62,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,Nintendo,E
64,Halo: Reach,Xbox 360,2010,Shooter,Microsoft Game Studios,Bungie,M
65,Final Fantasy VII,PlayStation,1997,Role-Playing,Sony Computer Entertainment,SquareSoft,T
66,Halo 4,Xbox 360,2012,Shooter,Microsoft Game Studios,343 Industries,M
67,Gran Turismo 2,PlayStation,1999,Racing,Sony Computer Entertainment,Polyphony Digital,T
68,Just Dance 2,Wii,2010,Misc,Ubisoft,Ubisoft,E10+
69,Call of Duty: Ghosts,PlayStation 3,2013,Shooter,Activision,Infinity Ward,M
70,Call of Duty 4: Modern Warfare,Xbox 360,2007,Shooter,Activision,Infinity Ward,M
73,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,Nintendo,E
74,Mario Party DS,DS,2007,Misc,Nintendo,Hudson Soft,E
75,The Elder Scrolls V: Skyrim,Xbox 360,2011,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
77,FIFA 16,PlayStation 4,2015,Sports,Electronic Arts,EA Sports,E
78,Halo 2,Xbox,2004,Shooter,Microsoft Game Studios,Bungie Software,M
79,Wii Party,Wii,2010,Misc,Nintendo,Nd Cube,E
80,Mario Party 8,Wii,2007,Misc,Nintendo,Hudson,E
81,FIFA Soccer 13,PlayStation 3,2012,Action,Electronic Arts,Electronic Arts,E
84,Final Fantasy X,PlayStation 2,2001,Role-Playing,Sony Computer Entertainment,SquareSoft,T
85,The Sims 3,PC,2009,Simulation,Electronic Arts,The Sims Studio,T
88,Final Fantasy VIII,PlayStation,1999,Role-Playing,SquareSoft,SquareSoft,T
90,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,Game Freak,E
91,Grand Theft Auto: Liberty City Stories,PlayStation Portable,2005,Action,Take-Two Interactive,Rockstar Leeds,M
92,Call of Duty: Advanced Warfare,PlayStation 4,2014,Shooter,Activision,Sledgehammer Games,M
94,FIFA 17,PlayStation 4,2016,Sports,Electronic Arts,"EA Sports, EA Vancouver",E
97,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,Nintendo EAD Tokyo,E
100,Call of Duty: World at War,Xbox 360,2008,Shooter,Activision,Treyarch,M
101,Battlefield 3,Xbox 360,2011,Shooter,Electronic Arts,EA DICE,M
102,Need for Speed Underground,PlayStation 2,2003,Racing,Electronic Arts,EA Black Box,E
103,Just Dance,Wii,2009,Misc,Ubisoft,Ubisoft Paris,E10+
104,Battlefield 3,PlayStation 3,2011,Shooter,Electronic Arts,EA DICE,M
105,Fallout 4,PlayStation 4,2015,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
106,Tekken 3,PlayStation,1998,Fighting,Sony Computer Entertainment,Namco,T
107,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,Nintendo,T
109,Crash Bandicoot 3: Warped,PlayStation,1998,Platform,Sony Computer Entertainment,Naughty Dog,E
110,Mario Kart 8,Wii U,2014,Racing,Nintendo,Nintendo,E
111,Super Smash Bros. Melee,GameCube,2001,Fighting,Nintendo,HAL Labs,T
113,Need for Speed Underground 2,PlayStation 2,2004,Racing,Electronic Arts,EA Canada,E
114,Medal of Honor: Frontline,PlayStation 2,2002,Shooter,Electronic Arts,EA LA,T
116,Just Dance 4,Wii,2012,Misc,Ubisoft,Ubisoft,E10+
117,Gears of War 2,Xbox 360,2008,Shooter,Microsoft Game Studios,Epic Games,M
118,Uncharted 3: Drake's Deception,PlayStation 3,2011,Action,Sony Computer Entertainment,Naughty Dog,T
120,Call of Duty 4: Modern Warfare,PlayStation 3,2007,Shooter,Activision,Infinity Ward,M
121,Uncharted 2: Among Thieves,PlayStation 3,2009,Action,Sony Computer Entertainment,Naughty Dog,T
123,Big Brain Academy,DS,2005,Misc,Nintendo,Nintendo,E
125,Red Dead Redemption,PlayStation 3,2010,Action,Take-Two Interactive,Rockstar San Diego,M
126,FIFA 14,PlayStation 3,2013,Sports,Electronic Arts,EA Canada,E
127,Assassin's Creed III,PlayStation 3,2012,Action,Ubisoft,Ubisoft,M
128,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,Retro Studios,E
129,Halo: Combat Evolved,Xbox,2001,Shooter,Microsoft Game Studios,Bungie Software,M
130,The Elder Scrolls V: Skyrim,PlayStation 3,2011,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
131,Pokémon Emerald Version,Game Boy Advance,2004,Role-Playing,Nintendo,Game Freak,E
132,Kingdom Hearts,PlayStation 2,2002,Role-Playing,Sony Computer Entertainment,SquareSoft,E
134,Halo 3: ODST,Xbox 360,2009,Shooter,Microsoft Game Studios,"Bungie Software, Bungie",M
135,Red Dead Redemption,Xbox 360,2010,Action,Take-Two Interactive,Rockstar San Diego,M
136,Super Mario Sunshine,GameCube,2002,Platform,Nintendo,Nintendo,E
138,World of Warcraft,PC,2004,Role-Playing,Activision,Blizzard Entertainment,T
139,Driver,PlayStation,1999,Action,GT Interactive,Reflections Interactive,T
140,Gears of War 3,Xbox 360,2011,Shooter,Microsoft Game Studios,Epic Games,M
141,Kinect Sports,Xbox 360,2010,Sports,Microsoft Game Studios,Rare Ltd.,E10+
142,Gears of War,Xbox 360,2006,Shooter,Microsoft Game Studios,Epic Games,M
143,FIFA 15,PlayStation 4,2014,Sports,Electronic Arts,EA Sports,E
144,Metal Gear Solid 2: Sons of Liberty,PlayStation 2,2001,Action,Konami Digital Entertainment,KCEJ,M
146,Metal Gear Solid,PlayStation,1998,Action,Konami Digital Entertainment,KCEJ,M
147,Metal Gear Solid 4: Guns of the Patriots,PlayStation 3,2008,Action,Konami Digital Entertainment,Kojima Productions,M
148,Final Fantasy XII,PlayStation 2,2006,Role-Playing,Square Enix,Square Enix,T
149,The Last of Us,PlayStation 3,2013,Action,Sony Computer Entertainment Europe,Naughty Dog,M
150,LittleBigPlanet,PlayStation 3,2008,Platform,Sony Computer Entertainment,"SCE/WWS, Media Molecule",E
151,Resident Evil 2,PlayStation,1998,Action,Virgin Interactive,Capcom,M
152,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,Level 5,E10+
153,Tekken 2,PlayStation,1996,Fighting,Sony Computer Entertainment,Namco,T
154,Destiny,PlayStation 4,2014,Shooter,Activision,"Bungie Software, Bungie",T
155,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,Traveller's Tales,E10+
156,Cooking Mama,DS,2006,Simulation,505 Games,Taito Corporation,E
159,Assassin's Creed II,PlayStation 3,2009,Action,Ubisoft,Ubisoft Montreal,M
160,Assassin's Creed,Xbox 360,2007,Adventure,Ubisoft,Ubisoft Montreal,M
161,Forza Motorsport 3,Xbox 360,2009,Racing,Microsoft Game Studios,Turn 10,E
162,Super Mario Advance,Game Boy Advance,2001,Platform,Nintendo,Nintendo,E
163,Monster Hunter Freedom Unite,PlayStation Portable,2008,Role-Playing,Capcom,Capcom,T
164,Batman: Arkham City,PlayStation 3,2011,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,T
165,Grand Theft Auto V,Xbox One,2014,Action,Take-Two Interactive,Rockstar North,M
166,Mario Kart: Super Circuit,Game Boy Advance,2001,Racing,Nintendo,Intelligent Systems,E
169,Crash Bandicoot: The Wrath of Cortex,PlayStation 2,2001,Platform,Universal Interactive,Traveller's Tales,E
170,Call of Duty: World at War,PlayStation 3,2008,Shooter,Activision,Treyarch,M
171,Uncharted 4: A Thief's End,PlayStation 4,2016,Shooter,Sony Computer Entertainment,Naughty Dog,T
173,Final Fantasy XIII,PlayStation 3,2009,Role-Playing,Square Enix,Square Enix,T
175,Final Fantasy IX,PlayStation,2000,Role-Playing,SquareSoft,SquareSoft,T
176,Assassin's Creed III,Xbox 360,2012,Action,Ubisoft,Ubisoft,M
