,name,platform,year_of_release,genre,publisher,developer,rating
0,Wii Sports,Wii,2006,Sports,Nintendo,Nintendo,E
2,Mario Kart Wii,Wii,2008,Racing,Nintendo,Nintendo,E
3,Wii Sports Resort,Wii,2009,Sports,Nintendo,Nintendo,E
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,Nintendo,E
8,Wii Play,Wii,2006,Misc,Nintendo,Nintendo,E
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,Nintendo,E
12,Mario Kart DS,DS,2005,Racing,Nintendo,Nintendo,E
14,Wii Fit,Wii,2007,Sports,Nintendo,Nintendo,E
15,Kinect Adventures!,Xbox 360,2010,Misc,Microsoft Game Studios,Good Science Studio,E
16,Wii Fit Plus,Wii,2009,Sports,Nintendo,Nintendo,E
17,Grand Theft Auto V,PlayStation 3,2013,Action,Take-Two Interactive,Rockstar North,M
18,Grand Theft Auto V,PlayStation 3,2013,Action,Take-Two Interactive,Rockstar North,M
19,Grand Theft Auto V,PlayStation 3,2013,Action,Take-Two Interactive,Rockstar North,M
20,Grand Theft Auto V,PlayStation 3,2013,Action,Take-Two Interactive,Rockstar North,M
21,Grand Theft Auto V,PlayStation 3,2013,Action,Take-Two Interactive,Rockstar North,M
22,Grand Theft Auto: San Andreas,PlayStation 2,2004,Action,Take-Two Interactive,Rockstar North,M
23,Grand Theft Auto: San Andreas,PlayStation 2,2004,Action,Take-Two Interactive,Rockstar North,M
24,Grand Theft Auto: San Andreas,PlayStation 2,2004,Action,Take-Two Interactive,Rockstar North,M
30,Grand Theft Auto V,Xbox 360,2013,Action,Take-Two Interactive,Rockstar North,M
31,Grand Theft Auto V,Xbox 360,2013,Action,Take-Two Interactive,Rockstar North,M
32,Grand Theft Auto V,Xbox 360,2013,Action,Take-Two Interactive,Rockstar North,M
33,Grand Theft Auto V,Xbox 360,2013,Action,Take-Two Interactive,Rockstar North,M
34,Grand Theft Auto V,Xbox 360,2013,Action,Take-Two Interactive,Rockstar North,M
35,Grand Theft Auto: Vice City,PlayStation 2,2002,Action,Take-Two Interactive,Rockstar North,M
36,Grand Theft Auto: Vice City,PlayStation 2,2002,Action,Take-Two Interactive,Rockstar North,M
38,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,Nintendo,E
40,Gran Turismo 3: A-Spec,PlayStation 2,2001,Racing,Sony Computer Entertainment,Polyphony Digital,E
41,Call of Duty: Modern Warfare 3,Xbox 360,2011,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
42,Call of Duty: Modern Warfare 3,Xbox 360,2011,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
43,Call of Duty: Modern Warfare 3,Xbox 360,2011,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
44,Call of Duty: Modern Warfare 3,Xbox 360,2011,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
47,Call of Duty: Black Ops,Xbox 360,2010,Shooter,Activision,Treyarch,M
48,Call of Duty: Black Ops,Xbox 360,2010,Shooter,Activision,Treyarch,M
49,Call of Duty: Black Ops,Xbox 360,2010,Shooter,Activision,Treyarch,M
50,Call of Duty: Black Ops,Xbox 360,2010,Shooter,Activision,Treyarch,M
51,Call of Duty: Black Ops,Xbox 360,2010,Shooter,Activision,Treyarch,M
53,Call of Duty: Black Ops II,PlayStation 3,2012,Shooter,Activision,Treyarch,M
54,Call of Duty: Black Ops II,PlayStation 3,2012,Shooter,Activision,Treyarch,M
55,Call of Duty: Black Ops II,PlayStation 3,2012,Shooter,Activision,Treyarch,M
56,Call of Duty: Black Ops II,PlayStation 3,2012,Shooter,Activision,Treyarch,M
57,Call of Duty: Black Ops II,Xbox 360,2012,Shooter,Activision,Treyarch,M
58,Call of Duty: Black Ops II,Xbox 360,2012,Shooter,Activision,Treyarch,M
59,Call of Duty: Black Ops II,Xbox 360,2012,Shooter,Activision,Treyarch,M
60,Call of Duty: Black Ops II,Xbox 360,2012,Shooter,Activision,Treyarch,M
61,Call of Duty: Modern Warfare 2,Xbox 360,2009,Shooter,Activision,Infinity Ward,M
62,Call of Duty: Modern Warfare 2,Xbox 360,2009,Shooter,Activision,Infinity Ward,M
63,Call of Duty: Modern Warfare 2,Xbox 360,2009,Shooter,Activision,Infinity Ward,M
64,Call of Duty: Modern Warfare 3,PlayStation 3,2011,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
65,Call of Duty: Modern Warfare 3,PlayStation 3,2011,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
66,Call of Duty: Modern Warfare 3,PlayStation 3,2011,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
67,Call of Duty: Modern Warfare 3,PlayStation 3,2011,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
68,Grand Theft Auto III,PlayStation 2,2001,Action,Take-Two Interactive,DMA Design,M
69,Grand Theft Auto III,PlayStation 2,2001,Action,Take-Two Interactive,DMA Design,M
70,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,Game Arts,T
71,Mario Kart 7,3DS,2011,Racing,Nintendo,"Retro Studios, Entertainment Analysis & Development Division",E
72,Call of Duty: Black Ops,PlayStation 3,2010,Shooter,Activision,Treyarch,M
73,Call of Duty: Black Ops,PlayStation 3,2010,Shooter,Activision,Treyarch,M
74,Call of Duty: Black Ops,PlayStation 3,2010,Shooter,Activision,Treyarch,M
75,Call of Duty: Black Ops,PlayStation 3,2010,Shooter,Activision,Treyarch,M
76,Call of Duty: Black Ops,PlayStation 3,2010,Shooter,Activision,Treyarch,M
77,Grand Theft Auto V,PlayStation 4,2014,Action,Take-Two Interactive,Rockstar North,M
78,Grand Theft Auto V,PlayStation 4,2014,Action,Take-Two Interactive,Rockstar North,M
79,Grand Theft Auto V,PlayStation 4,2014,Action,Take-Two Interactive,Rockstar North,M
80,Grand Theft Auto V,PlayStation 4,2014,Action,Take-Two Interactive,Rockstar North,M
81,Grand Theft Auto V,PlayStation 4,2014,Action,Take-Two Interactive,Rockstar North,M
82,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,Nintendo,E
83,Halo 3,Xbox 360,2007,Shooter,Microsoft Game Studios,"Bungie Software, Bungie",M
87,Gran Turismo 4,PlayStation 2,2004,Racing,Sony Computer Entertainment,Polyphony Digital,E
88,Super Mario Galaxy,Wii,2007,Platform,Nintendo,Nintendo,E
90,Grand Theft Auto IV,Xbox 360,2008,Action,Take-Two Interactive,Rockstar North,M
91,Grand Theft Auto IV,Xbox 360,2008,Action,Take-Two Interactive,Rockstar North,M
92,Grand Theft Auto IV,Xbox 360,2008,Action,Take-Two Interactive,Rockstar North,M
93,Gran Turismo,PlayStation,1997,Racing,Sony Computer Entertainment,Polyphony Digital,E
94,Super Mario 3D Land,3DS,2011,Platform,Nintendo,Nintendo,E
95,Gran Turismo 5,PlayStation 3,2010,Racing,Sony Computer Entertainment,Polyphony Digital,E
96,Call of Duty: Modern Warfare 2,PlayStation 3,2009,Shooter,Activision,Infinity Ward,M
97,Call of Duty: Modern Warfare 2,PlayStation 3,2009,Shooter,Activision,Infinity Ward,M
98,Call of Duty: Modern Warfare 2,PlayStation 3,2009,Shooter,Activision,Infinity Ward,M
100,Grand Theft Auto IV,PlayStation 3,2008,Action,Take-Two Interactive,Rockstar North,M
101,Grand Theft Auto IV,PlayStation 3,2008,Action,Take-Two Interactive,Rockstar North,M
102,Grand Theft Auto IV,PlayStation 3,2008,Action,Take-Two Interactive,Rockstar North,M
105,Call of Duty: Ghosts,Xbox 360,2013,Shooter,Activision,Infinity Ward,M
106,Call of Duty: Ghosts,Xbox 360,2013,Shooter,Activision,Infinity Ward,M
107,Call of Duty: Ghosts,Xbox 360,2013,Shooter,Activision,Infinity Ward,M
108,Call of Duty: Ghosts,Xbox 360,2013,Shooter,Activision,Infinity Ward,M
109,Call of Duty: Ghosts,Xbox 360,2013,Shooter,Activision,Infinity Ward,M
110,Just Dance 3,Wii,2011,Misc,Ubisoft,Ubisoft,E10+
111,Just Dance 3,Wii,2011,Misc,Ubisoft,Ubisoft,E10+
112,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,Nintendo,E
114,Halo: Reach,Xbox 360,2010,Shooter,Microsoft Game Studios,Bungie,M
115,Final Fantasy VII,PlayStation,1997,Role-Playing,Sony Computer Entertainment,SquareSoft,T
116,Final Fantasy VII,PlayStation,1997,Role-Playing,Sony Computer Entertainment,SquareSoft,T
117,Halo 4,Xbox 360,2012,Shooter,Microsoft Game Studios,343 Industries,M
118,Gran Turismo 2,PlayStation,1999,Racing,Sony Computer Entertainment,Polyphony Digital,T
119,Just Dance 2,Wii,2010,Misc,Ubisoft,Ubisoft,E10+
120,Call of Duty: Ghosts,PlayStation 3,2013,Shooter,Activision,Infinity Ward,M
121,Call of Duty: Ghosts,PlayStation 3,2013,Shooter,Activision,Infinity Ward,M
122,Call of Duty: Ghosts,PlayStation 3,2013,Shooter,Activision,Infinity Ward,M
123,Call of Duty: Ghosts,PlayStation 3,2013,Shooter,Activision,Infinity Ward,M
124,Call of Duty: Ghosts,PlayStation 3,2013,Shooter,Activision,Infinity Ward,M
125,Call of Duty 4: Modern Warfare,Xbox 360,2007,Shooter,Activision,Infinity Ward,M
126,Call of Duty 4: Modern Warfare,Xbox 360,2007,Shooter,Activision,Infinity Ward,M
127,Call of Duty 4: Modern Warfare,Xbox 360,2007,Shooter,Activision,Infinity Ward,M
128,Call of Duty 4: Modern Warfare,Xbox 360,2007,Shooter,Activision,Infinity Ward,M
132,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,Nintendo,E
133,Mario Party DS,DS,2007,Misc,Nintendo,Hudson Soft,E
134,The Elder Scrolls V: Skyrim,Xbox 360,2011,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
135,The Elder Scrolls V: Skyrim,Xbox 360,2011,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
136,The Elder Scrolls V: Skyrim,Xbox 360,2011,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
137,The Elder Scrolls V: Skyrim,Xbox 360,2011,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
139,FIFA 16,PlayStation 4,2015,Sports,Electronic Arts,EA Sports,E
140,FIFA 16,PlayStation 4,2015,Sports,Electronic Arts,EA Sports,E
141,FIFA 16,PlayStation 4,2015,Sports,Electronic Arts,EA Sports,E
142,Halo 2,Xbox,2004,Shooter,Microsoft Game Studios,Bungie Software,M
143,Halo 2,Xbox,2004,Shooter,Microsoft Game Studios,Bungie Software,M
144,Wii Party,Wii,2010,Misc,Nintendo,Nd Cube,E
145,Mario Party 8,Wii,2007,Misc,Nintendo,Hudson,E
146,FIFA Soccer 13,PlayStation 3,2012,Action,Electronic Arts,Electronic Arts,E
147,FIFA Soccer 13,PlayStation 3,2012,Action,Electronic Arts,Electronic Arts,E
148,FIFA Soccer 13,PlayStation 3,2012,Action,Electronic Arts,Electronic Arts,E
149,FIFA Soccer 13,PlayStation 3,2012,Action,Electronic Arts,Electronic Arts,E
150,FIFA Soccer 13,PlayStation 3,2012,Action,Electronic Arts,Electronic Arts,E
155,Final Fantasy X,PlayStation 2,2001,Role-Playing,Sony Computer Entertainment,SquareSoft,T
156,The Sims 3,PC,2009,Simulation,Electronic Arts,The Sims Studio,T
