name,year_of_release,developer,worldwide_sales,critic_score,user_score,critic_count,user_count
 Tales of Xillia 2,2012,Bandai Namco Games,0.8400000000000001,71.0,7.9,59.0,216.0
.hack//Infection Part 1,2002,CyberConnect2,1.2599999999999998,75.0,8.5,35.0,60.0
.hack//Mutation Part 2,2002,CyberConnect2,0.6700000000000002,76.0,8.9,24.0,81.0
.hack//Outbreak Part 3,2002,CyberConnect2,0.46,70.0,8.7,23.0,19.0
007 Racing,2000,Eutechnyx,0.53,51.0,4.6,16.0,14.0
007: Quantum of Solace,2008,Treyarch,3.3,63.5,6.875,140.0,199.0
007: The World is not Enough,2000,Black Ops Entertainment,0.9199999999999999,61.0,6.7,11.0,44.0
1 vs. 100,2008,ECI,0.09,38.0,3.2,5.0,5.0
1701 A.D.,2006,Related Designs,0.29,79.0,8.3,30.0,38.0
18 Wheeler: American Pro Trucker,2001,Acclaim Studios Cheltenham,0.51,56.5,6.25,28.0,26.0
187: Ride or Die,2005,Ubisoft,0.21,51.5,6.85,73.0,20.0
2002 FIFA World Cup,2002,EA Sports,0.8400000000000001,76.66666666666667,7.433333333333334,45.0,28.0
2010 FIFA World Cup South Africa,2010,EA Canada,2.9699999999999998,76.0,7.5,147.0,135.0
2014 FIFA World Cup Brazil,2014,EA Canada,1.04,73.5,4.35,62.0,180.0
24: The Game,2006,SCE Studio Cambridge,0.31,62.0,8.2,53.0,40.0
25 to Life,2006,"Ritual Entertainment, Avalanche Software",0.59,40.0,6.050000000000001,43.0,59.0
300: March to Glory,2007,Collision Studios,0.42000000000000004,55.0,7.1,31.0,14.0
3D Dot Game Heroes,2009,Silicon Studio,0.5700000000000001,77.0,8.0,66.0,96.0
4x4 EVO 2,2001,Terminal Reality,0.24,59.0,6.2,15.0,5.0
50 Cent: Blood on the Sand,2009,Swordfish Studios,0.41000000000000003,71.5,6.800000000000001,91.0,121.0
50 Cent: Bulletproof,2005,Genuine Games,2.2199999999999998,48.5,6.25,35.0,150.0
7 Days to Die,2016,The Fun Pimps Entertainment LLC,0.19,40.0,5.550000000000001,33.0,214.0
7 Wonders of the Ancient World,2007,Hot Lava Games,0.12,60.0,8.3,7.0,48.0
7th Dragon III Code: VFD,2015,Sega,0.16,77.0,8.2,26.0,38.0
A Boy and His Blob,2009,WayForward,0.2,80.0,8.7,43.0,35.0
A Vampyre Story,2008,Autumn Moon,0.01,75.0,8.5,33.0,25.0
A Witch's Tale,2009,"Nippon Ichi Software, Hit Maker",0.12,50.0,6.2,17.0,9.0
AC/DC LIVE: Rock Band Track Pack,2008,Harmonix Music Systems,0.47,61.5,5.1,28.0,24.0
AMF Xtreme Bowling,2006,"Atomic Planet Entertainment, Mud Duck Productions",0.02,30.0,4.2,4.0,5.0
APB Reloaded,2011,"Reloaded Productions, Reloaded Games Inc.",0.03,56.0,5.7,12.0,269.0
ATV Offroad Fury,2001,Rainbow Studios,2.41,82.0,8.4,16.0,53.0
ATV Offroad Fury 2,2002,Rainbow Studios,2.18,82.0,8.9,26.0,28.0
ATV Offroad Fury 3,2004,Climax Group,1.2,78.0,8.4,37.0,16.0
ATV Offroad Fury: Blazin' Trails,2005,Climax Group,0.5700000000000001,63.0,7.8,32.0,16.0
ATV Quad Power Racing 2,2003,Climax Group,0.29000000000000004,70.0,9.0,18.0,4.0
Academy of Champions: Soccer,2009,Ubisoft Vancouver,0.12,64.0,6.8,20.0,14.0
Ace Attorney Investigations: Miles Edgeworth,2009,Capcom,0.71,78.0,8.4,51.0,79.0
Ace Combat 04: Shattered Skies,2001,Namco,3.17,89.0,9.1,22.0,95.0
Ace Combat 2,1997,Namco,0.8900000000000001,83.0,8.2,10.0,22.0
Ace Combat 5: The Unsung War,2004,Namco,1.72,84.0,9.1,57.0,81.0
Ace Combat 6: Fires of Liberation,2007,Project Aces,1.01,80.0,7.9,54.0,101.0
Ace Combat X: Skies of Deception,2006,Project Aces,0.98,75.0,8.3,26.0,30.0
Ace Combat Zero: The Belkan War,2006,Namco,0.51,75.0,8.4,45.0,55.0
Ace Combat: Assault Horizon,2011,Project Aces,1.23,77.5,6.45,99.0,164.0
Ace Combat: Assault Horizon Legacy,2011,Project Aces,0.25,71.0,7.8,37.0,26.0
Ace Combat: Joint Assault,2010,Project Aces,0.29000000000000004,71.0,7.2,30.0,12.0
Active Life: Outdoor Challenge,2008,h.a.n.d. Inc.,1.54,69.0,8.1,6.0,14.0
Activision Anthology,2002,Contraband Entertainment,0.5,75.0,7.7,13.0,6.0
Advance Wars,2001,Intelligent Systems,0.7,92.0,9.0,28.0,95.0
Advance Wars 2: Black Hole Rising,2003,Intelligent Systems,0.65,89.0,9.4,34.0,97.0
Advance Wars: Dual Strike,2005,Intelligent Systems,0.39,90.0,9.0,49.0,163.0
Advent Rising,2005,GlyphX Games,0.13,68.0,7.5,50.0,68.0
Adventure Time: The Secret of the Nameless Kingdom,2014,WayForward,0.12000000000000001,61.5,6.55,10.0,12.0
Aedis Eclipse: Generation of Chaos,2006,"Neverland, Idea Factory",0.02,62.0,6.5,20.0,11.0
Aegis of Earth: Protonovus Assault,2016,Acquire,0.02,57.0,7.8,11.0,9.0
Aeon Flux,2005,Terminal Reality,0.060000000000000005,67.5,4.4,46.0,13.0
Aero Elite: Combat Academy,2002,Sega AM2,0.08,64.0,7.0,18.0,8.0
Afrika,2008,Rhino Studios,0.21000000000000002,63.0,6.2,12.0,34.0
Afro Samurai,2009,"Namco Bandai Games America, Namco Bandai Games",0.43,65.0,6.15,122.0,84.0
Agatha Christie's The ABC Murders,2016,Microids,0.02,67.0,6.2,17.0,12.0
Agatha Christie: And Then There Were None,2008,AWE Games,0.07999999999999999,50.0,6.2,23.0,12.0
Agatha Christie: Evil Under the Sun,2008,AWE Games,0.07999999999999999,46.0,7.3,6.0,6.0
Agatha Christie: The ABC Murders,2009,Dreamcatcher,0.09999999999999999,53.0,6.5,11.0,4.0
Age of Conan: Rise of the Godslayer,2010,Funcom,0.02,83.0,8.4,14.0,52.0
Age of Empires II: The Age of Kings,1999,Ensemble Studios,0.09999999999999999,92.0,9.0,21.0,801.0
Age of Empires III,2005,Ensemble Studios,0.38,81.0,7.7,52.0,519.0
