,name,critic_score,critic_count,user_score,user_count
0,Wii Sports,76.0,51.0,8,322.0
2,Mario Kart Wii,82.0,73.0,8.3,709.0
3,Wii Sports Resort,80.0,73.0,8,192.0
7,New Super Mario Bros.,89.0,65.0,8.5,431.0
8,Wii Play,58.0,41.0,6.6,129.0
9,New Super Mario Bros. Wii,87.0,80.0,8.4,594.0
12,Mario Kart DS,91.0,64.0,8.6,464.0
14,Wii Fit,80.0,63.0,7.7,146.0
15,Kinect Adventures!,61.0,45.0,6.3,106.0
16,Wii Fit Plus,80.0,33.0,7.4,52.0
17,Grand Theft Auto V,97.0,50.0,8.2,3994.0
18,Grand Theft Auto V,97.0,50.0,8.2,3994.0
19,Grand Theft Auto V,97.0,50.0,8.2,3994.0
20,Grand Theft Auto V,97.0,50.0,8.2,3994.0
21,Grand Theft Auto V,97.0,50.0,8.2,3994.0
22,Grand Theft Auto: San Andreas,95.0,80.0,9,1588.0
23,Grand Theft Auto: San Andreas,95.0,80.0,9,1588.0
24,Grand Theft Auto: San Andreas,95.0,80.0,9,1588.0
30,Grand Theft Auto V,97.0,58.0,8.1,3711.0
31,Grand Theft Auto V,97.0,58.0,8.1,3711.0
32,Grand Theft Auto V,97.0,58.0,8.1,3711.0
33,Grand Theft Auto V,97.0,58.0,8.1,3711.0
34,Grand Theft Auto V,97.0,58.0,8.1,3711.0
35,Grand Theft Auto: Vice City,95.0,62.0,8.7,730.0
36,Grand Theft Auto: Vice City,95.0,62.0,8.7,730.0
38,Brain Age 2: More Training in Minutes a Day,77.0,37.0,7.1,19.0
40,Gran Turismo 3: A-Spec,95.0,54.0,8.4,314.0
41,Call of Duty: Modern Warfare 3,88.0,81.0,3.4,8713.0
42,Call of Duty: Modern Warfare 3,88.0,81.0,3.4,8713.0
43,Call of Duty: Modern Warfare 3,88.0,81.0,3.4,8713.0
44,Call of Duty: Modern Warfare 3,88.0,81.0,3.4,8713.0
47,Call of Duty: Black Ops,87.0,89.0,6.3,1454.0
48,Call of Duty: Black Ops,87.0,89.0,6.3,1454.0
49,Call of Duty: Black Ops,87.0,89.0,6.3,1454.0
50,Call of Duty: Black Ops,87.0,89.0,6.3,1454.0
51,Call of Duty: Black Ops,87.0,89.0,6.3,1454.0
53,Call of Duty: Black Ops II,83.0,21.0,5.3,922.0
54,Call of Duty: Black Ops II,83.0,21.0,5.3,922.0
55,Call of Duty: Black Ops II,83.0,21.0,5.3,922.0
56,Call of Duty: Black Ops II,83.0,21.0,5.3,922.0
57,Call of Duty: Black Ops II,83.0,73.0,4.8,2256.0
58,Call of Duty: Black Ops II,83.0,73.0,4.8,2256.0
59,Call of Duty: Black Ops II,83.0,73.0,4.8,2256.0
60,Call of Duty: Black Ops II,83.0,73.0,4.8,2256.0
61,Call of Duty: Modern Warfare 2,94.0,100.0,6.3,2698.0
62,Call of Duty: Modern Warfare 2,94.0,100.0,6.3,2698.0
63,Call of Duty: Modern Warfare 2,94.0,100.0,6.3,2698.0
64,Call of Duty: Modern Warfare 3,88.0,39.0,3.2,5234.0
65,Call of Duty: Modern Warfare 3,88.0,39.0,3.2,5234.0
66,Call of Duty: Modern Warfare 3,88.0,39.0,3.2,5234.0
67,Call of Duty: Modern Warfare 3,88.0,39.0,3.2,5234.0
68,Grand Theft Auto III,97.0,56.0,8.5,664.0
69,Grand Theft Auto III,97.0,56.0,8.5,664.0
70,Super Smash Bros. Brawl,93.0,81.0,8.9,1662.0
71,Mario Kart 7,85.0,73.0,8.2,632.0
72,Call of Duty: Black Ops,88.0,58.0,6.4,1094.0
73,Call of Duty: Black Ops,88.0,58.0,6.4,1094.0
74,Call of Duty: Black Ops,88.0,58.0,6.4,1094.0
75,Call of Duty: Black Ops,88.0,58.0,6.4,1094.0
76,Call of Duty: Black Ops,88.0,58.0,6.4,1094.0
77,Grand Theft Auto V,97.0,66.0,8.3,2899.0
78,Grand Theft Auto V,97.0,66.0,8.3,2899.0
