,name,na_sales,eu_sales,jp_sales,other_sales,global_sales
0,Wii Sports,41.36,28.96,3.77,8.45,82.53
2,Mario Kart Wii,15.68,12.76,3.79,3.29,35.52
3,Wii Sports Resort,15.61,10.93,3.28,2.95,32.77
6,New Super Mario Bros.,11.28,9.14,6.5,2.88,29.8
7,Wii Play,13.96,9.18,2.93,2.84,28.92
8,New Super Mario Bros. Wii,14.44,6.94,4.7,2.24,28.32
11,Mario Kart DS,9.71,7.47,4.13,1.9,23.21
13,Wii Fit,8.92,8.03,3.6,2.15,22.7
14,Kinect Adventures!,15.0,4.89,0.24,1.69,21.81
15,Wii Fit Plus,9.01,8.49,2.53,1.77,21.79
16,Grand Theft Auto V,7.02,9.09,0.98,3.96,21.04
17,Grand Theft Auto: San Andreas,9.43,0.4,0.41,10.57,20.81
19,Brain Age: Train Your Brain in Minutes a Day,4.74,9.2,4.16,2.04,20.15
23,Grand Theft Auto V,9.66,5.14,0.06,1.41,16.27
24,Grand Theft Auto: Vice City,8.41,5.49,0.47,1.78,16.15
26,Brain Age 2: More Training in Minutes a Day,3.43,5.35,5.32,1.18,15.29
28,Gran Turismo 3: A-Spec,6.85,5.09,1.87,1.16,14.98
29,Call of Duty: Modern Warfare 3,9.04,4.24,0.13,1.32,14.73
32,Call of Duty: Black Ops,9.7,3.68,0.11,1.13,14.61
34,Call of Duty: Black Ops II,4.99,5.73,0.65,2.42,13.79
35,Call of Duty: Black Ops II,8.25,4.24,0.07,1.12,13.67
36,Call of Duty: Modern Warfare 2,8.52,3.59,0.08,1.28,13.47
37,Call of Duty: Modern Warfare 3,5.54,5.73,0.49,1.57,13.32
38,Grand Theft Auto III,6.99,4.51,0.3,1.3,13.1
39,Super Smash Bros. Brawl,6.62,2.55,2.66,1.01,12.84
40,Mario Kart 7,5.03,4.02,2.69,0.91,12.66
41,Call of Duty: Black Ops,5.99,4.37,0.48,1.79,12.63
42,Grand Theft Auto V,3.96,6.31,0.38,1.97,12.61
43,Animal Crossing: Wild World,2.5,3.45,5.33,0.86,12.13
44,Halo 3,7.97,2.81,0.13,1.21,12.12
48,Gran Turismo 4,3.01,0.01,1.1,7.53,11.66
49,Super Mario Galaxy,6.06,3.35,1.2,0.74,11.35
51,Grand Theft Auto IV,6.76,3.07,0.14,1.03,11.01
52,Gran Turismo,4.02,3.87,2.54,0.52,10.95
53,Super Mario 3D Land,4.89,3.0,2.14,0.78,10.81
54,Gran Turismo 5,2.96,4.82,0.81,2.11,10.7
55,Call of Duty: Modern Warfare 2,4.99,3.64,0.38,1.6,10.6
57,Grand Theft Auto IV,4.76,3.69,0.44,1.61,10.5
60,Call of Duty: Ghosts,6.73,2.56,0.04,0.91,10.25
61,Just Dance 3,5.95,3.11,0.0,1.06,10.12
62,New Super Mario Bros. 2,3.66,3.14,2.47,0.63,9.9
64,Halo: Reach,7.04,1.95,0.08,0.79,9.86
65,Final Fantasy VII,3.01,2.47,3.28,0.96,9.72
66,Halo 4,6.65,2.28,0.04,0.74,9.71
67,Gran Turismo 2,3.88,3.42,1.69,0.5,9.49
68,Just Dance 2,5.8,2.85,0.01,0.78,9.44
69,Call of Duty: Ghosts,4.1,3.63,0.38,1.25,9.36
70,Call of Duty 4: Modern Warfare,5.93,2.36,0.13,0.9,9.31
